Reviewer,Rating,Variant,Verified,Date,Text
5** F**Y M**T,5,S,True,2026-03-05 13:04:48,"Alhamdulillah dah selamat sampai.
Ni jubah ke 5 ..memang tak pernah mengecewakan..terbaik👍"
m**8,5,XL,True,2026-03-08 07:05:11,Baju dah Smpai cantik sgt2...lembut&sejuk kain ..memang puas hati.. nanti boleh repeat design lain..terbaiklaa👍👍
h**i,5,L,True,2026-03-08 23:33:24,Abaya sangat cantik cutting pun best kain also best.gambar nanti update..nak pakai raya..
a**😎,5,XXXL,True,2026-02-24 19:23:38,Product quality: good.design cantek arabista mmg saya suka.jahitan kemas
c**®,5,XL,True,2025-12-12 14:50:08,Cantiknya Abaya ni...sekali tengok terus grab sebelum habis.
N**r S**r B**i I**l,5,XXL,True,2026-01-05 16:12:09,Product quality: Super good and comfortable.
💬**,5,S,True,2026-03-09 02:59:58,Sangat puas hati
c**i,5,M,True,2026-02-16 09:15:19,bagus produk ni
N**n,5,XL,True,2026-03-11 00:33:21,"Kain nida premium sgt cantik, jahitan kemas, design exclusive! Sikit jer kot boleh nak komen, bhgn dada fitting sket, saya amik xl dada 44, saya prefer longgar sket jer lagi.. Tapi overall mmg sgt cantik, packaging wow sgt, terasa exclusive to the max! Tq tau! Mantap! InsyaaAllah repeat order"
N**a,5,XXL,True,2026-03-07 11:11:06,Cantik sgt...love sgt...seller pun baik Dan amat senang berurusan 👍👍👍
a**a b**e A**h Z**n,5,L,True,2026-02-25 10:09:35,Ok la tp bukan cutting arab ya. Alhamdulillah padan molek
L**n,5,XL,True,2026-02-24 20:34:06,Dh terima n try material kain mmg best cuma kena potong skit sb bkn baka arab.🤭
Q**n M**,5,S,True,2026-02-20 12:10:30,Material best. Cutting cantik. Paling suka ada pokey kiri kanan. Harga pun mampu milik
I**n,5,XL,True,2025-12-06 15:14:21,Jahitan kemas..design cantik..labuh pun ngam sbb saya tinggi 172cm. Boleh repeat design lain. Cuma shawl free tu agak keras la kain dia 😅
S**i A**d,5,XL,True,2025-03-22 14:41:43,Abaya cantik sangat2...cuma labuh aje..takpe nanti saya pergi kedai potong bahagian bawahnya..cepatnya sampai baju saya..terima kasih sis..Insyallah akan saya repeart lagi sbb ada abaya yang saya berkenan...
A**p,5,XL,True,2025-02-22 23:50:13,Abaya yg berkualiti dan sgt cantik design. Ada kocek dan zip di depan. jahitan kemas.
A**B,5,S,True,2026-03-04 15:46:40,Nice but material is not suitable for sunny day.
s**h N**l j**h,5,L,True,2026-03-02 00:18:08,Suka sgt cutting jubah ni..kain pun x panas
Q**E **,5,M,True,2025-12-11 14:18:14,Cantek sngt & selesa . 🤍🤍🤍🤍🤍
n**n,5,L,True,2025-03-30 14:55:32,"cantik n kemas..
Product quality: Terbaik"
D**s,4,XL,True,2026-03-04 22:20:27,Product quality: Baju best.labuh sesuai untuk orang tinggi.yang rendah kene alter. Kain shawl keras.tapi overall boleh repeat beli
C** N**m,4,XXXL,True,2025-03-15 09:27:26,"Cantik sangat dan berkualiti tapi sayang sangat baiu ini tidak muat , ketat bahagian dada yg lain semua ngam. Rezeki anak saya je lah"
L**y r**s,5,XXXL,True,2026-02-18 21:46:03,tersangatla ok..akan beli lagi
d**y,5,XL,True,2025-03-23 07:44:47,Beautiful and high quality product
y**4,5,M,True,2026-03-09 15:07:16,Cantik kain lembuat tak panas
A**a H**n,5,M,True,2026-03-09 05:56:47,jubah cantik...simple ...
**,5,XXXL,True,2026-03-07 21:26:57,Kali ketiga purchased
L**a H**l,5,M,True,2026-03-04 12:18:16,"Jubah cantek, love sangat"
ن**ه,5,XXXL,True,2025-05-05 19:28:31,poket ada sekit koyak
C**e,5,M,True,2025-03-24 13:54:41,"Nice jubah 
Nice cutting"
h**,5,M,True,2026-03-11 18:57:38,Jubah dah terima
u**3,5,L,True,2025-03-03 06:47:06,Cantik🥰
8**5,5,L,True,2025-02-21 19:54:21,👍👍👍👍
n**r,5,XXL,True,2026-04-13 10:32:38,The best
w**g,5,S,True,2026-03-14 19:20:13,Good
y**i,5,L,True,2026-03-07 14:36:32,❤️
k** i**💕,5,XXXL,True,2026-02-25 16:06:25,Cantik
s**u,5,L,True,2025-12-13 11:37:15,👍🏻
u**s,5,XXXL,True,2025-12-12 22:00:03,Terbaik
A**J,5,S,True,2025-12-08 23:52:43,Love
m**e,5,S,True,2025-03-22 17:21:10,So nice
