Reviewer,Rating,Variant,Verified,Date,Text
z**_,5,M,True,2026-03-07 16:39:01,"Thanks seller,item received in good condition and like it and so worth it with the price.For sure next repeated & Buy it many more! 2nd time buy with thisseller🥰❤️Seller fast responds & friendly! As we know the measurement Fit Well🥰🫶🏻Thank you dear seller & courier for fast shipping & delivered."
S**a,5,XS,True,2026-05-21 16:41:34,Abaya dh smp..cantik sgt😍n ngam dgn sy x perlu alter utk tinggi 153 saiz xs🥰
s**h B**s,5,XL,True,2025-07-01 07:32:12,Kain sejuk...cantik sgt..rekeman..smpai siap sekali ada kotak
E**Z,5,M,True,2025-09-26 07:19:53,Baju sangat cantik..kain best kualiti terbaik mmg sedap pkai dn selesa..free shawl..kali ke 2 beli..siap ada box cantik mcm dpt present dr someone hehehe..korg nk beli jubah beli la kat sni mmg recommanded.. x sabar nk pkai
M**a,5,L,True,2025-04-29 16:18:36,"Alhamdulillah, kain sgt selesa. Nnt blh order lg. Terima kasih 👍🏻 ♥️ ❤️"
🌸**🌸,5,XS,True,2025-02-24 19:00:23,Beli terus 3 helai mantap servis pun bagus
m**7,5,XS,True,2025-02-13 10:27:03,Cantik sangat. Kain lembut je. Mmg nampak mahal.
a**a,4,L,True,2026-02-11 11:30:24,"Kain selesa, cantik cuma labuh kena potong..bleh repeat"
a**a,5,M,True,2026-01-07 16:56:34,Penghantaran cepat...metarial kain cantik dn berat terletak elok dgn siaz saya
N** L**7,5,L,True,2026-01-05 20:09:43,"cantik , selesa .. ada inner tangan siap .. saya berat 63kg tinggi 152 guna saiz L selesa pakai .. yang penting cepat post 2 hari dh smpai .. terima kasih"
h**i,5,XL,True,2025-12-25 16:59:04,Saya ambil XL.. ngam dengan badan tapi kena alter lengan & labuh kain
H**⋆,5,XL,True,2025-04-28 16:21:11,"kain sejuk, pastu terletak elok. unexpected ada sleeve bergetah . so tak perlu pakai inner dah. panjang sikit utk saya yg 154cm . potong sikit okayla sbb xda manik atau sulam dekat bawah. nnt repeat design lain pulak😍"
s**f,5,XXXL,True,2025-04-15 16:46:49,Cantik abayanya...semua anak saya ada. Last saya order utk anak sulung sbb stok xda ritu
E**z,5,S,True,2025-03-28 15:55:43,1st time beli abaya dan br kenal material nida mcmana. Kain ni jenis berat bila pakai mmg terletak helok weiii.Sy tggi 163/59kg amik sz S dh ok sgt xperlu alter. Cantik design ni xsalah sy pilih ARABISTA utk raya kali ni. Yg best sekali order smlm harini dh sampai mmg superb laju. Tqvm ok😉
N**i,5,XXL,True,2025-02-15 12:53:20,MashaAllah chantek sgt.. kain lembut.quality baik.. InshaAllah akn order lagi
m**a s**p,5,S,True,2025-11-09 21:30:49,Love 😘 sangat²...sesuai dgn ukuran body sy...
A** w**h m** c**l m**👍,5,L,True,2025-03-17 06:52:55,Cntik
n**a,5,L,True,2025-09-28 18:03:06,Cantik.size ngam.cuma labuh.
M**l,5,XXL,True,2026-02-16 21:29:38,Alhamdulillah.. Dh dpt yg bersesuian dengan ketinggian... Kain x panas.. Ada jahit terus inner kt lengan..
**,5,XXL,True,2026-02-12 12:39:56,Jubah cantik. Kain nidha. Siap dalam kotak. Boleh nak buat hadiah. Terima kasih
s**g,5,M,True,2026-01-28 21:29:44,"Kain lembut tak kasar
Berat dan jatuh terletak
Cantik sangat
Akan beli untuk corak yang lain pula"
R**Z,5,M,True,2026-01-16 13:49:58,Lurve sgt dgn abaya ni. Packaging pun mantap. Nampak exclusive
F**n D**,5,XXL,True,2026-01-10 17:29:30,MasyaAllah... Cantik sgt jubah ni.. Design kat tgn sgt exclusive. Material dan cutting pun best.. 👍😍 dah beli kali ke 2 sini. Berbaloi dgn harga.. Saya beli jubah2x dgn harga tersebut.. Tq ✌
a**a,5,XL,True,2026-01-08 11:11:24,Always love their abayas. Have several designs..looking forward for more!
c**,5,XXL,True,2026-01-04 21:22:07,"Cantik sgt.. Jubah dpt labuh. Bhg tangan di dalamnya ada bergetah jd x nampak lengannya.. First timdle dpt fesyen mcm ni.. Cantik sgt, ada kerongsang kecik yg comel.. Puas hati, tkasih..."
u**3,5,XXXL,True,2026-01-04 17:16:57,"Kain cantik, di bungkus kemas dgn kotak, penghantaran laju, suka sangat"
R**e,5,M,True,2025-12-27 20:15:42,"MashaAllah cantik bajunya, saya ambik saiz m berat 62kg tinggi 157, saya suka walaupun labuh sikit, muat2 badan saya🥰"
s**e,5,XXL,True,2025-12-01 19:17:41,Puas hati cantikkk sangat cuma kena outer sikit maklum x tggi sangat 😅 tp overalls recommended sapa yg nak cari abaya..
z**z,5,M,True,2025-11-26 16:34:14,Masyaa Allah... Alhamdulillah jubah dah sampai sangat cantik tak terlalu sarat design sulaman..tkasih seller saya beli dgn harga tersebut
f**,5,S,True,2025-11-16 22:55:57,Baju cantik dan jahitan kemas terima kasih penjual
y**a,5,XXL,True,2025-11-08 13:31:26,"Sangat cantik , puas hati...kain pun selesa...nnt repeat lg..."
K**o,5,S,True,2025-10-28 19:12:20,"Loveeeeeee❤️❤️❤️❤️❤️lawaaaaa
Tak nyesal grab 
Very trusted seller👍👍👍👍"
A**s,5,S,True,2025-08-20 23:24:02,Alhamdulillah.. jubah cantik terletak elok sedap pakai dan kain pun sejuk..👍👍👍👍👍👍👍👍👍👍
و**ل,5,M,True,2025-06-22 15:06:39,"beli untuk mak , best material kain jenis tebal & berat . tak melekap di badan"
h**i,5,L,True,2025-05-24 17:54:13,"Abaya selesa, Kain sejuk..puas hati2 sgt..tq seller"
R**6,5,XXXL,True,2025-05-22 11:31:41,The best abaya....kualiti Kain terbaik insyallah Akan repeat Oder lagi
