Reviewer,Rating,Variant,Verified,Date,Text
s**.,5,M,True,2024-11-28 18:09:54,Alhamdulillah worth buying! Material mmg ala dubai abaya. I sll beli jubah abaya sll rm250-300. This one mmg jackpot! First time beli and i am totally satisfied! Korg sila beli and support kedai ni. Puas hati. Murahhh tp premium standard. Love! Will repeat purchase here!  Nah gambar….
S**u,4,L,True,2025-04-29 18:20:52,Alhamdulillah 🤲 baju tu dah lawa... Tp syg bhgian manik kt tghnya tercabut... Nmpk kecacatan di situ. Maaf nk refund bagai. Cuma terganggu bila melihatnya. Nie repeat order sebenarnya.
A**a,5,XXXL,True,2025-05-04 19:13:08,"Kain berat elok terletak je. Tak expect pulak dia mcm 2 lapis, ada outer layer yg dah dijahit sekali tapi cantik je. Tangan pun ada 2 layer jadi tak la jatuh bila angkat tgn. Packaging mmg nampak ekslusif. Shawl pun panjang boleh adjust labuh. Jubah labuh sikit tp boleh potong. Overall mmg puas hati"
n**n,5,XS,True,2025-10-02 16:53:33,Product quality: Kain berat. Best giler. X salah pilih... Saiz pon ok... Cuma panjang skit. Bleh potong. Tp kain dia mmg best 🥰 love sangat
❤**️,5,XL,True,2024-10-27 23:06:01,Sangat cantik kain berat selesa pakai … bila paki fuhh mcm yale2
M**m,5,XXXL,True,2024-12-06 08:05:47,Cantik ..kena potong sebab labuh dengan saya
♡**𝓴 𝓡**♡,5,M,True,2025-09-23 17:38:40,"Alhamdulillah kali ke-2 beli..Selesa pakai❤️❤️❤️
Kualiti produk: Material tak panas..kadang pakai sampai ke petang pun tak rasa panas langsung."
k**,5,XXXL,True,2025-05-10 10:35:09,Lurve sgt...seller pon bgus...response n bg pendapt yg bgus
M**h **,5,M,True,2025-04-20 06:13:43,"Grab 2 baju dua2 size x ngam , nasiblh seller baik boleh tukarkan size 🥰 Berbaloi sgt beli kat sini baju sgt berkualiti 😍 next repeat lg"
e**r,5,XL,True,2024-12-27 21:18:34,Nice rugi lak tak beli time live dpt jimat lagi RM20
e**l,5,L,True,2024-12-10 20:23:41,Services very good. Can change if saiz not fit (provided the goods still good @ with care). Ive made an additional 2 new purchase with this seller. Thanks
M**d,5,XS,True,2024-11-11 15:16:09,comey dooh Abaya nih..kain sedap terletak elok xmenyesal beli❤️❤️❤️
z**?,5,XS,True,2024-10-14 17:45:33,"Tinggi 152 berat 48 kg sesuaii sangatt...sukaa kain dia+details sangat design nya...baju berat sikit tapi sangattt lawaaa
Product quality: Kain sejuk manik detail sangat ii"
b**9,5,XS,True,2024-09-28 16:27:22,cantik sgt ye..jahitan kemas ❤️will repeat again
n**z,5,M,True,2024-08-30 16:39:21,"Bought M. Tinggi sy 153cm, i probably shd buy S size, baru sedang elok hehe. Ni labuh sikit. Tp quality superb !"
M**h,5,M,True,2024-10-28 15:11:06,Baju cantik cuma ketat. Alhamdulillah boleh tukar
S**i,5,M,True,2024-10-09 00:11:57,Cantiiiiikk sangat..sesuai dengan jiwa ;)
z**a,4,XL,True,2025-09-29 12:37:37,"Cepat sampai , paking sangat bagus.Kain sejuk , material ok, cuma kena potong labuh tangan dan baju ."
L**y B**m,5,S,True,2024-12-29 14:33:15,Cantik sangat2 berbaloi dhn harga
F**0,5,XXXL,True,2024-12-01 20:45:39,Sgt cantik❤️recommended👍
F**y,5,XXL,True,2024-10-05 14:34:08,"Brg pantas baju selesa, tq seller"
>**<,5,L,True,2025-11-14 06:21:36,Product quality: Good
💞**💞,5,M,True,2025-10-02 13:58:43,Product quality: Cantik sgt
ن**ن,5,XL,True,2025-09-23 19:06:16,Product quality: Cantikkk
l** s**n,5,XS,True,2025-01-08 16:07:28,Cantik tapi size kecik
L**a,5,M,True,2024-12-26 22:08:08,Product quality: Excellent
S**e,5,M,True,2024-12-24 15:24:32,Best sangat cantikkkkkk
w**8,5,XXXL,True,2024-12-05 11:31:25,Alhamdulillah semuanya ok
_**a,5,M,True,2024-10-08 23:55:16,Product quality: good
A**️,5,L,True,2025-10-16 18:39:23,material sgt padu
s**m,5,M,True,2025-02-12 18:25:59,Material baik..
e**l,5,S,True,2024-12-25 11:16:05,Highly recommended
e**l,5,XS,True,2024-12-25 11:16:05,Highly recommended
e**l,5,M,True,2024-12-25 11:16:05,Highly recommended
e**l,5,XXXL,True,2024-12-25 11:16:05,Highly recommended
A**5,5,L,True,2024-09-19 22:10:15,Cantik sangat
l**5,5,XXL,True,2024-09-01 23:40:18,Great love it
s**🌹,5,XXL,True,2024-06-09 21:01:29,Cantik sgt
B**8,4,XXXL,True,2024-12-02 18:28:52,Berat manik tp cantik
n**🌹,5,XS,True,2025-11-12 09:21:08,Cantik
F**2,5,S,True,2025-09-25 04:14:33,g
m**4,5,M,True,2025-04-23 08:35:14,🥰
S**h,5,L,True,2025-01-02 22:01:43,awesome
E**h,5,M,True,2024-12-23 14:40:52,Ok
𝑨**𝒚,5,M,True,2024-10-17 21:42:56,cantik
E** B**r,5,XL,True,2024-09-02 11:24:57,Tq seller
N**a L**u,4,XL,True,2024-12-30 19:00:35,Cantik kain
C**U H**H N**S,4,M,True,2024-12-05 13:54:11,Cantik sangat
F**s,4,XXL,True,2024-11-04 18:58:46,Cantik sgt...
M**,4,L,True,2025-12-02 20:06:33,
