Reviewer,Rating,Variant,Verified,Date,Text
N**i Y**b,5,XXL,True,2025-03-22 16:55:23,"produk
cantik, cepat sampai ."
D**r,5,XXL,True,2025-02-28 17:24:27,Kain Nida sedap. Ingat Nida biasa je rupanya Nida eksklusif. Design pun cantik sangat. Pakai selesa. Box pun cantikkkk... teruja bila sampai macam abaya mahal jeee....best2. Cuma tinggi 160 Kene potong 3 inci tapi ok je. Saya akan repeat 💕
S**n,5,XXXL,True,2025-12-12 23:47:15,"Product quality: Kain berat, sejuk & jahitan semua kemas tiada benang2 lebihan. Memang exclusive terletak dibadan bila pakai.Sy ketinggian 170 berat 100kg dada 48/50 selesa pakai masih ada kelabuhan kain jatuh melebih buku lali cecah floor is the BEST👍🏼 berbaloi sgat ada rezeki boleh repeat order 🫶🏻. Tq ARABISTA"
k**,5,S,True,2025-12-09 10:57:23,"Penghantaran pantas,design simple tapi cantik.kain sangat selesa.tq 😘"
K**8,5,M,True,2025-12-06 23:08:49,"Penghantaran sangat cepat
Packaging sangat kemas
Kualiti jubah amat memuaskan..👍🏻👍🏻"
B**A A**A,5,S,True,2025-12-06 19:36:36,Cantik sangat saya suka bila pakai terus berangan jadi puteri🤭
♡**𝓴 𝓡**♡,5,M,True,2025-12-06 18:18:19,Kualiti produk: Alhamdulillah saya suka shopping kedai ni..sebab material kain dia sejuk selesa pakai..Saya beli dengan harga tersebut ya.
A**9,5,XXL,True,2025-03-26 11:37:26,Baju cantikkk...tp trlampau labuh...kena potong byk jgk
Z**a F**s,5,L,True,2025-03-24 10:38:58,Sngat berpuas hati..kain lembut sngt2..Nak repeat order yg lain plak😘
L**a I**0,5,S,True,2025-02-23 08:30:23,Penghantaran cepat bungkusan kemas…sy love sgt ngan abaya ni…
A**p,5,XL,True,2025-02-22 23:50:13,Abaya yang sangat berbaloi untuk dimiliki kepda pengemar jubah hitam. Design yg cantik dan unik.
h**a,5,XS,True,2025-02-21 14:51:19,MasyaAllah cantik sangat material n design ni.
N**️,5,L,True,2025-02-21 14:15:01,Assalammualwikum..mekasihh sis.Suka sgtttttt
n**1,5,M,True,2025-12-24 16:31:29,Product quality: Kain sedap pkai
@**r,5,XS,True,2025-12-07 17:51:41,Cantik sangat.. Recommended👍👍
R**h a**d,5,L,True,2025-02-27 06:31:20,Baju cantik sangat kain lembut
I**a,5,M,True,2025-02-25 12:05:46,❤️❤️❤️❤️❤️
F**a,5,XXL,True,2025-12-09 14:35:07,Product quality: Great
n**n,5,L,True,2025-03-30 14:56:07,",👍🏻⭐⭐⭐⭐⭐"
u**0,3,M,True,2025-03-01 18:00:16,Alamdulillah baju dh sampai dgn selamat..ctik
▪**︎,5,XXL,True,2025-04-06 10:36:27,❤️❤️❤️
M**a,5,XXXL,True,2025-03-03 20:14:48,Sngt2 puas hati
j**e,5,XXXL,True,2025-03-03 15:11:25,Jubah cantik
j**🌊,5,XXXL,True,2025-02-21 20:45:40,Kain lembut
Z**1,5,S,True,2025-12-05 20:20:11,😘
** ** A**,5,L,True,2025-03-22 17:24:38,Love
M**a,5,XXL,True,2025-02-24 19:12:11,😍
E**e,4,M,True,2025-02-23 12:08:10,Cantik
